Date,Fiscal_Year,Province_No,Province,District,Police_Station,Crime_Category,Victim_Demographic,Cases_Reported,Status,Year
1/1/2019,2018/19,7,Sudurpashchim,Bajhang,Bajhang PS,Rape,Girl-Child,4,Decided,2019
1/1/2019,2018/19,7,Sudurpashchim,Bajura,WCSC Martadi,Rape,Girl-Child,2,Decided,2019
1/1/2019,2018/19,7,Sudurpashchim,Baitadi,Dasharathchand PS,Rape,Girl-Child,2,Under Investigation,2019
1/1/2019,2018/19,7,Sudurpashchim,Darchula,WCSC Darchula,Rape,Girl-Child,1,Under Investigation,2019
1/1/2019,2018/19,7,Sudurpashchim,Achham,WCSC Sanphebagar,Rape,Woman,3,Decided,2019
1/1/2019,2018/19,1,Koshi,Sunsari,Dharan PS,Attempt to Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,1,Koshi,Jhapa,Kankai PS,Attempt to Rape,Girl-Child,2,Decided,2019
1/1/2019,2018/19,1,Koshi,Dhankuta,WCSC Dhankuta,Attempt to Rape,Woman,0,Under Investigation,2019
1/1/2019,2018/19,1,Koshi,Taplejung,WCSC Taplejung,Attempt to Rape,Girl-Child,0,Decided,2019
1/1/2019,2018/19,1,Koshi,Sankhuwasabha,Chainpur PS,Attempt to Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,1,Koshi,Terhathum,Terhathum PS,Attempt to Rape,Girl-Child,2,Decided,2019
1/1/2019,2018/19,1,Koshi,Ilam,Mai Valley PS,Attempt to Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,1,Koshi,Bhojpur,WCSC Bhojpur,Attempt to Rape,Girl-Child,0,Under Investigation,2019
1/1/2019,2018/19,1,Koshi,Okhaldhunga,Siddhicharan PS,Attempt to Rape,Woman,1,Decided,2019
1/1/2019,2018/19,1,Koshi,Khotang,WCSC Diktel,Attempt to Rape,Woman,2,Decided,2019
1/1/2019,2018/19,1,Koshi,Udayapur,WCSC Gaighat,Attempt to Rape,Woman,0,Decided,2019
1/1/2019,2018/19,2,Madhesh,Siraha,WCSC Siraha,Attempt to Rape,Girl-Child,0,Decided,2019
1/1/2019,2018/19,2,Madhesh,Saptari,Saptari PS,Attempt to Rape,Boy-Child,1,Decided,2019
1/1/2019,2018/19,2,Madhesh,Mahottari,Jaleshwar PS,Attempt to Rape,Woman,0,Decided,2019
1/1/2019,2018/19,2,Madhesh,Parsa,Parsa Sadar PS,Attempt to Rape,Boy-Child,1,Decided,2019
1/1/2019,2018/19,2,Madhesh,Rautahat,WCSC Gaur,Attempt to Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,3,Bagmati,Kathmandu,WCSC Thamel,Attempt to Rape,Girl-Child,1,Under Investigation,2019
1/1/2019,2018/19,3,Bagmati,Lalitpur,Godawari PS,Attempt to Rape,Girl-Child,1,Under Investigation,2019
1/1/2019,2018/19,3,Bagmati,Bhaktapur,Suryabinayak PS,Attempt to Rape,Girl-Child,2,Decided,2019
1/1/2019,2018/19,3,Bagmati,Rasuwa,WCSC Rasuwa,Attempt to Rape,Girl-Child,0,Decided,2019
1/1/2019,2018/19,3,Bagmati,Nuwakot,Nuwakot Sadar PS,Attempt to Rape,Woman,0,Filed,2019
1/1/2019,2018/19,3,Bagmati,Chitwan,Bharatpur PS,Attempt to Rape,Girl-Child,3,Filed,2019
1/1/2019,2018/19,3,Bagmati,Makwanpur,Thaha PS,Attempt to Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,3,Bagmati,Dhading,Dhading PS,Attempt to Rape,Girl-Child,1,Under Investigation,2019
1/1/2019,2018/19,3,Bagmati,Sindhuli,WCSC Sindhuli,Attempt to Rape,Girl-Child,0,Decided,2019
1/1/2019,2018/19,3,Bagmati,Ramechhap,Manthali PS,Attempt to Rape,Girl-Child,1,Under Investigation,2019
1/1/2019,2018/19,3,Bagmati,Dolakha,WCSC Dolakha,Attempt to Rape,Boy-Child,1,Decided,2019
1/1/2019,2018/19,4,Gandaki,Syangja,WCSC Syangja,Attempt to Rape,Woman,0,Filed,2019
1/1/2019,2018/19,4,Gandaki,Tanahu,Byas PS,Attempt to Rape,Girl-Child,0,Decided,2019
1/1/2019,2018/19,4,Gandaki,Lamjung,Lamjung PS,Attempt to Rape,Girl-Child,0,Under Investigation,2019
1/1/2019,2018/19,4,Gandaki,Manang,Manang PS,Attempt to Rape,Girl-Child,0,Decided,2019
1/1/2019,2018/19,4,Gandaki,Mustang,Mustang PS,Attempt to Rape,Girl-Child,1,Under Investigation,2019
1/1/2019,2018/19,4,Gandaki,Myagdi,WCSC Baglung,Attempt to Rape,Woman,0,Decided,2019
1/1/2019,2018/19,4,Gandaki,Baglung,WCSC Baglung,Attempt to Rape,Girl-Child,0,Decided,2019
1/1/2019,2018/19,4,Gandaki,Parbat,Parbat PS,Attempt to Rape,Woman,0,Decided,2019
1/1/2019,2018/19,4,Gandaki,Nawalpur,WCSC Kawasoti,Attempt to Rape,Girl-Child,0,Under Investigation,2019
1/1/2019,2018/19,5,Lumbini,Rupandehi,WCSC Bhairahawa,Attempt to Rape,Girl-Child,0,Filed,2019
1/1/2019,2018/19,5,Lumbini,Kapilvastu,WCSC Taulihawa,Attempt to Rape,Girl-Child,1,Filed,2019
1/1/2019,2018/19,5,Lumbini,Arghakhanchi,WCSC Sandhikharka,Attempt to Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,5,Lumbini,Palpa,WCSC Tansen,Attempt to Rape,Woman,0,Filed,2019
1/1/2019,2018/19,5,Lumbini,Gulmi,Gulmi Sadar PS,Attempt to Rape,Girl-Child,0,Filed,2019
1/1/2019,2018/19,5,Lumbini,Banke,Kohalpur PS,Attempt to Rape,Woman,0,Decided,2019
1/1/2019,2018/19,5,Lumbini,Bardiya,WCSC Gulariya,Attempt to Rape,Girl-Child,1,Filed,2019
1/1/2019,2018/19,5,Lumbini,Rolpa,Rolpa Sadar PS,Attempt to Rape,Woman,1,Decided,2019
1/1/2019,2018/19,6,Karnali,Surkhet,Birendranagar PS,Attempt to Rape,Woman,1,Filed,2019
1/1/2019,2018/19,6,Karnali,Dailekh,Narayan PS,Attempt to Rape,Girl-Child,0,Decided,2019
1/1/2019,2018/19,6,Karnali,Dolpa,Dolpa PS,Attempt to Rape,Woman,0,Under Investigation,2019
1/1/2019,2018/19,6,Karnali,Humla,WCSC Simikot,Attempt to Rape,Girl-Child,2,Under Investigation,2019
1/1/2019,2018/19,6,Karnali,Jumla,WCSC Khalanga Jumla,Attempt to Rape,Woman,0,Decided,2019
1/1/2019,2018/19,6,Karnali,Mugu,Mugu PS,Attempt to Rape,Girl-Child,0,Decided,2019
1/1/2019,2018/19,6,Karnali,Salyan,Bangad Kupinde PS,Attempt to Rape,Woman,1,Decided,2019
1/1/2019,2018/19,6,Karnali,Western Rukum,WCSC Musikot,Attempt to Rape,Girl-Child,0,Decided,2019
1/1/2019,2018/19,6,Karnali,Jajarkot,Jajarkot PS,Attempt to Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,7,Sudurpashchim,Kanchanpur,Bhimdatta PS,Attempt to Rape,Girl-Child,2,Under Investigation,2019
1/1/2019,2018/19,7,Sudurpashchim,Dadeldhura,WCSC Dadeldhura,Attempt to Rape,Woman,1,Decided,2019
1/1/2019,2018/19,7,Sudurpashchim,Bajura,Bajura PS,Attempt to Rape,Woman,0,Decided,2019
1/1/2019,2018/19,7,Sudurpashchim,Baitadi,WCSC Baitadi,Attempt to Rape,Girl-Child,0,Decided,2019
1/1/2019,2018/19,7,Sudurpashchim,Achham,Mangalsen PS,Attempt to Rape,Girl-Child,0,Under Investigation,2019
1/1/2019,2018/19,1,Koshi,Jhapa,Kankai PS,Child Sexual Abuse,Girl-Child,2,Filed,2019
1/1/2019,2018/19,1,Koshi,Dhankuta,WCSC Dhankuta,Child Sexual Abuse,Boy-Child,2,Decided,2019
1/1/2019,2018/19,1,Koshi,Taplejung,WCSC Taplejung,Child Sexual Abuse,Boy-Child,0,Decided,2019
1/1/2019,2018/19,1,Koshi,Sankhuwasabha,Chainpur PS,Child Sexual Abuse,Boy-Child,0,Decided,2019
1/1/2019,2018/19,1,Koshi,Ilam,WCSC Ilam,Child Sexual Abuse,Girl-Child,2,Filed,2019
1/1/2019,2018/19,1,Koshi,Bhojpur,WCSC Bhojpur,Child Sexual Abuse,Boy-Child,1,Decided,2019
1/1/2019,2018/19,1,Koshi,Solukhumbu,Solukhumbu PS,Child Sexual Abuse,Girl-Child,1,Decided,2019
1/1/2019,2018/19,1,Koshi,Okhaldhunga,WCSC Okhaldhunga,Child Sexual Abuse,Girl-Child,0,Filed,2019
1/1/2019,2018/19,1,Koshi,Khotang,WCSC Diktel,Child Sexual Abuse,Girl-Child,0,Decided,2019
1/1/2019,2018/19,1,Koshi,Udayapur,Triyuga PS,Child Sexual Abuse,Boy-Child,0,Decided,2019
1/1/2019,2018/19,1,Koshi,Panchthar,Panchthar PS,Child Sexual Abuse,Boy-Child,0,Decided,2019
1/1/2019,2018/19,2,Madhesh,Siraha,WCSC Siraha,Child Sexual Abuse,Girl-Child,0,Decided,2019
1/1/2019,2018/19,2,Madhesh,Saptari,WCSC Rajbiraj,Child Sexual Abuse,Girl-Child,0,Decided,2019
1/1/2019,2018/19,2,Madhesh,Dhanusha,Janakpur PS,Child Sexual Abuse,Girl-Child,0,Decided,2019
1/1/2019,2018/19,2,Madhesh,Mahottari,Jaleshwar PS,Child Sexual Abuse,Boy-Child,0,Filed,2019
1/1/2019,2018/19,2,Madhesh,Sarlahi,WCSC Malangwa,Child Sexual Abuse,Girl-Child,0,Under Investigation,2019
1/1/2019,2018/19,2,Madhesh,Parsa,WCSC Birgunj,Child Sexual Abuse,Boy-Child,1,Decided,2019
1/1/2019,2018/19,3,Bagmati,Bhaktapur,WCSC Bhaktapur,Child Sexual Abuse,Girl-Child,1,Filed,2019
1/1/2019,2018/19,3,Bagmati,Rasuwa,WCSC Rasuwa,Child Sexual Abuse,Girl-Child,1,Decided,2019
1/1/2019,2018/19,3,Bagmati,Nuwakot,WCSC Bidur,Child Sexual Abuse,Girl-Child,0,Decided,2019
1/1/2019,2018/19,3,Bagmati,Chitwan,Rapti PS,Child Sexual Abuse,Girl-Child,1,Filed,2019
1/1/2019,2018/19,3,Bagmati,Makwanpur,Hetauda PS,Child Sexual Abuse,Boy-Child,0,Filed,2019
1/1/2019,2018/19,3,Bagmati,Sindhuli,WCSC Sindhuli,Child Sexual Abuse,Girl-Child,0,Under Investigation,2019
1/1/2019,2018/19,3,Bagmati,Dolakha,WCSC Dolakha,Child Sexual Abuse,Girl-Child,1,Decided,2019
1/1/2019,2018/19,4,Gandaki,Syangja,WCSC Syangja,Child Sexual Abuse,Girl-Child,1,Under Investigation,2019
1/1/2019,2018/19,4,Gandaki,Tanahu,Byas PS,Child Sexual Abuse,Girl-Child,1,Under Investigation,2019
1/1/2019,2018/19,4,Gandaki,Gorkha,WCSC Gorkha,Child Sexual Abuse,Girl-Child,0,Decided,2019
1/1/2019,2018/19,4,Gandaki,Manang,Manang PS,Child Sexual Abuse,Girl-Child,0,Filed,2019
1/1/2019,2018/19,4,Gandaki,Mustang,Mustang PS,Child Sexual Abuse,Girl-Child,0,Decided,2019
1/1/2019,2018/19,4,Gandaki,Parbat,WCSC Kushma,Child Sexual Abuse,Girl-Child,1,Under Investigation,2019
1/1/2019,2018/19,4,Gandaki,Nawalpur,WCSC Kawasoti,Child Sexual Abuse,Girl-Child,1,Decided,2019
1/1/2019,2018/19,5,Lumbini,Arghakhanchi,Arghakhanchi PS,Child Sexual Abuse,Boy-Child,0,Decided,2019
1/1/2019,2018/19,5,Lumbini,Gulmi,Gulmi Sadar PS,Child Sexual Abuse,Boy-Child,0,Decided,2019
1/1/2019,2018/19,5,Lumbini,Dang,Dang PS,Child Sexual Abuse,Girl-Child,2,Under Investigation,2019
1/1/2019,2018/19,5,Lumbini,Banke,Kohalpur PS,Child Sexual Abuse,Girl-Child,0,Under Investigation,2019
1/1/2019,2018/19,5,Lumbini,Rolpa,Rolpa Sadar PS,Child Sexual Abuse,Girl-Child,0,Filed,2019
1/1/2019,2018/19,5,Lumbini,Eastern Rukum,Putha Uttarganga PS,Child Sexual Abuse,Girl-Child,2,Under Investigation,2019
1/1/2019,2018/19,5,Lumbini,Pyuthan,Khalanga PS,Child Sexual Abuse,Girl-Child,0,Decided,2019
1/1/2019,2018/19,6,Karnali,Dailekh,WCSC Dailekh,Child Sexual Abuse,Girl-Child,0,Decided,2019
1/1/2019,2018/19,6,Karnali,Dolpa,WCSC Dunai,Child Sexual Abuse,Girl-Child,0,Decided,2019
1/1/2019,2018/19,6,Karnali,Humla,WCSC Simikot,Child Sexual Abuse,Girl-Child,1,Under Investigation,2019
1/1/2019,2018/19,6,Karnali,Jumla,WCSC Khalanga Jumla,Child Sexual Abuse,Boy-Child,0,Decided,2019
1/1/2019,2018/19,6,Karnali,Mugu,Mugu PS,Child Sexual Abuse,Boy-Child,0,Under Investigation,2019
1/1/2019,2018/19,6,Karnali,Western Rukum,WCSC Musikot,Child Sexual Abuse,Girl-Child,0,Decided,2019
1/1/2019,2018/19,7,Sudurpashchim,Kanchanpur,Krishnapur PS,Child Sexual Abuse,Boy-Child,1,Decided,2019
1/1/2019,2018/19,7,Sudurpashchim,Baitadi,WCSC Baitadi,Child Sexual Abuse,Girl-Child,1,Decided,2019
1/1/2019,2018/19,7,Sudurpashchim,Achham,WCSC Sanphebagar,Child Sexual Abuse,Girl-Child,0,Decided,2019
1/1/2019,2018/19,1,Koshi,Morang,WCSC Biratnagar,Domestic Violence,Woman,9,Filed,2019
1/1/2019,2018/19,1,Koshi,Sunsari,WCSC Inaruwa,Domestic Violence,Woman,17,Decided,2019
1/1/2019,2018/19,1,Koshi,Jhapa,Kankai PS,Domestic Violence,Woman,12,Under Investigation,2019
1/1/2019,2018/19,1,Koshi,Dhankuta,WCSC Dhankuta,Domestic Violence,Woman,6,Filed,2019
1/1/2019,2018/19,1,Koshi,Taplejung,WCSC Taplejung,Domestic Violence,Woman,5,Filed,2019
1/1/2019,2018/19,1,Koshi,Sankhuwasabha,WCSC Khandbari,Domestic Violence,Woman,10,Decided,2019
1/1/2019,2018/19,1,Koshi,Terhathum,WCSC Myanglung,Domestic Violence,Woman,8,Under Investigation,2019
1/1/2019,2018/19,1,Koshi,Ilam,Mai Valley PS,Domestic Violence,Woman,7,Decided,2019
1/1/2019,2018/19,1,Koshi,Bhojpur,WCSC Bhojpur,Domestic Violence,Woman,10,Decided,2019
1/1/2019,2018/19,1,Koshi,Solukhumbu,WCSC Salleri,Domestic Violence,Woman,9,Under Investigation,2019
1/1/2019,2018/19,1,Koshi,Okhaldhunga,Siddhicharan PS,Domestic Violence,Woman,4,Under Investigation,2019
1/1/2019,2018/19,1,Koshi,Khotang,Khotang PS,Domestic Violence,Woman,6,Decided,2019
1/1/2019,2018/19,1,Koshi,Udayapur,WCSC Gaighat,Domestic Violence,Woman,6,Decided,2019
1/1/2019,2018/19,1,Koshi,Panchthar,WCSC Phidim,Domestic Violence,Girl-Child,9,Under Investigation,2019
1/1/2019,2018/19,2,Madhesh,Siraha,Lahan PS,Domestic Violence,Woman,39,Decided,2019
1/1/2019,2018/19,2,Madhesh,Saptari,Kanchanrup PS,Domestic Violence,Woman,48,Filed,2019
1/1/2019,2018/19,2,Madhesh,Dhanusha,Mithila PS,Domestic Violence,Woman,35,Decided,2019
1/1/2019,2018/19,2,Madhesh,Mahottari,Jaleshwar PS,Domestic Violence,Woman,49,Under Investigation,2019
1/1/2019,2018/19,2,Madhesh,Sarlahi,WCSC Malangwa,Domestic Violence,Woman,30,Decided,2019
1/1/2019,2018/19,2,Madhesh,Bara,Bara Sadar PS,Domestic Violence,Woman,63,Under Investigation,2019
1/1/2019,2018/19,2,Madhesh,Parsa,Parsa Sadar PS,Domestic Violence,Woman,42,Decided,2019
1/1/2019,2018/19,2,Madhesh,Rautahat,WCSC Gaur,Domestic Violence,Woman,40,Under Investigation,2019
1/1/2019,2018/19,3,Bagmati,Kathmandu,WCSC Kalimati,Domestic Violence,Woman,75,Decided,2019
1/1/2019,2018/19,3,Bagmati,Lalitpur,WCSC Patan,Domestic Violence,Woman,42,Decided,2019
1/1/2019,2018/19,3,Bagmati,Bhaktapur,Suryabinayak PS,Domestic Violence,Woman,30,Under Investigation,2019
1/1/2019,2018/19,3,Bagmati,Sindhulpalchok,Bahrabise PS,Domestic Violence,Woman,10,Decided,2019
1/1/2019,2018/19,3,Bagmati,Kavre,Panauti PS,Domestic Violence,Woman,22,Filed,2019
1/1/2019,2018/19,3,Bagmati,Rasuwa,Dhunche PS,Domestic Violence,Woman,16,Decided,2019
1/1/2019,2018/19,3,Bagmati,Nuwakot,Nuwakot Sadar PS,Domestic Violence,Woman,28,Decided,2019
1/1/2019,2018/19,3,Bagmati,Chitwan,Rapti PS,Domestic Violence,Woman,31,Decided,2019
1/1/2019,2018/19,3,Bagmati,Makwanpur,WCSC Hetauda,Domestic Violence,Woman,14,Under Investigation,2019
1/1/2019,2018/19,3,Bagmati,Dhading,WCSC Nilkantha,Domestic Violence,Woman,32,Decided,2019
1/1/2019,2018/19,3,Bagmati,Sindhuli,WCSC Sindhuli,Domestic Violence,Woman,17,Under Investigation,2019
1/1/2019,2018/19,3,Bagmati,Ramechhap,Manthali PS,Domestic Violence,Woman,17,Decided,2019
1/1/2019,2018/19,3,Bagmati,Dolakha,Bhimeshwor PS,Domestic Violence,Woman,16,Under Investigation,2019
1/1/2019,2018/19,4,Gandaki,Kaski,WCSC Baidam Pokhara,Domestic Violence,Woman,10,Under Investigation,2019
1/1/2019,2018/19,4,Gandaki,Syangja,WCSC Syangja,Domestic Violence,Woman,8,Decided,2019
1/1/2019,2018/19,4,Gandaki,Tanahu,WCSC Damauli,Domestic Violence,Woman,8,Under Investigation,2019
1/1/2019,2018/19,4,Gandaki,Lamjung,WCSC Besisahar,Domestic Violence,Woman,12,Under Investigation,2019
1/1/2019,2018/19,4,Gandaki,Gorkha,Gorkha Sadar PS,Domestic Violence,Woman,5,Decided,2019
1/1/2019,2018/19,4,Gandaki,Manang,WCSC Chame,Domestic Violence,Woman,8,Filed,2019
1/1/2019,2018/19,4,Gandaki,Mustang,Mustang PS,Domestic Violence,Woman,15,Filed,2019
1/1/2019,2018/19,4,Gandaki,Myagdi,WCSC Baglung,Domestic Violence,Woman,9,Decided,2019
1/1/2019,2018/19,4,Gandaki,Baglung,Baglung Sadar PS,Domestic Violence,Woman,14,Decided,2019
1/1/2019,2018/19,4,Gandaki,Parbat,Parbat PS,Domestic Violence,Woman,11,Under Investigation,2019
1/1/2019,2018/19,4,Gandaki,Nawalpur,WCSC Kawasoti,Domestic Violence,Woman,14,Under Investigation,2019
1/1/2019,2018/19,5,Lumbini,Rupandehi,WCSC Bhairahawa,Domestic Violence,Woman,29,Under Investigation,2019
1/1/2019,2018/19,5,Lumbini,Kapilvastu,Kapilvastu Sadar PS,Domestic Violence,Woman,20,Decided,2019
1/1/2019,2018/19,5,Lumbini,Arghakhanchi,WCSC Sandhikharka,Domestic Violence,Girl-Child,12,Decided,2019
1/1/2019,2018/19,5,Lumbini,Palpa,WCSC Tansen,Domestic Violence,Woman,21,Under Investigation,2019
1/1/2019,2018/19,5,Lumbini,Nawalparasi (E),WCSC Parasi,Domestic Violence,Woman,16,Decided,2019
1/1/2019,2018/19,5,Lumbini,Gulmi,WCSC Tamghas,Domestic Violence,Woman,21,Decided,2019
1/1/2019,2018/19,5,Lumbini,Dang,WCSC Ghorahi,Domestic Violence,Woman,19,Decided,2019
1/1/2019,2018/19,5,Lumbini,Banke,WCSC Nepalgunj,Domestic Violence,Woman,22,Decided,2019
1/1/2019,2018/19,5,Lumbini,Bardiya,Bardiya PS,Domestic Violence,Woman,9,Filed,2019
1/1/2019,2018/19,5,Lumbini,Rolpa,Rolpa Sadar PS,Domestic Violence,Woman,16,Decided,2019
1/1/2019,2018/19,5,Lumbini,Eastern Rukum,Putha Uttarganga PS,Domestic Violence,Woman,19,Decided,2019
1/1/2019,2018/19,5,Lumbini,Pyuthan,WCSC Pyuthan,Domestic Violence,Woman,18,Decided,2019
1/1/2019,2018/19,6,Karnali,Surkhet,Birendranagar PS,Domestic Violence,Woman,6,Under Investigation,2019
